,countries,Gini,Teen fertility,Continent
0,Lesotho,63.2,65.8524,Africa
1,Haiti,60.8,43.3088,North America
2,Botswana,60.5,47.1324,Africa
3,Namibia,59.7,62.4296,Africa
4,Honduras,57.7,88.759,Central America
5,Zambia,57.5,141.8102,Africa
6,Colombia,53.5,70.6084,South America
7,Paraguay,53.2,68.946,South America
8,Guatemala,53.0,104.3064,Central America
9,Chile,52.1,56.8916,South America
10,Panama,51.9,78.567,Central America
11,Brazil,51.9,75.8116,South America
12,Swaziland,50.4,74.2996,Africa
13,Gambia,50.2,70.7508,Africa
14,Zimbabwe,50.1,57.858000000000004,Africa
15,Ecuador,48.5,81.4548,South America
16,Thailand,48.4,39.5078,Asia
17,Mexico,48.3,67.5444,North America
18,Madagascar,47.5,127.3116,Africa
19,China,46.9,8.829,Asia
20,Rwanda,46.8,36.7636,Africa
21,Bolivia,46.6,76.1156,South America
22,Singapore,46.4,5.937,Asia
23,Malaysia,46.2,11.5756,Asia
24,Philippines,46.0,49.532,Asia
25,Georgia,46.0,41.56399999999999,Asia
26,Argentina,45.8,68.2,South America
27,Mozambique,45.6,134.3428,Africa
28,Jamaica,45.5,72.7592,North America
29,Uruguay,45.3,59.8632,South America
30,Peru,45.3,51.1236,South America
31,Cameroon,44.6,120.193,Africa
32,Guyana,44.6,59.683,South America
33,Iran,44.5,26.7784,Asia
34,Nigeria,43.7,114.1328,Africa
35,Chad,43.3,148.7062,Africa
36,Israel,42.8,14.027000000000001,Asia
37,Kenya,42.5,98.9448,Africa
38,Burundi,42.4,19.9978,Africa
39,Ghana,42.3,65.8672,Africa
40,Russia,42.0,25.9424,Europe
41,Cote d'Ivoire,41.5,115.1644,
42,Djibouti,40.9,20.8804,Africa
43,Morocco,40.9,12.5412,Africa
44,Turkmenistan,40.8,17.9346,Asia
45,Nicaragua,40.5,107.9908,Central America
46,Senegal,40.3,96.1958,Africa
47,Turkey,40.2,33.937,Asia
48,Mali,40.1,175.8652,Africa
49,Tunisia,40.0,4.883,Africa
50,Jordan,39.7,24.8082,Asia
51,Uganda,39.5,135.8066,Africa
52,Guinea,39.4,143.1538,Africa
53,Venezuela,39.0,88.36,South America
54,Malawi,39.0,111.0492,Africa
55,Mauritania,39.0,74.5014,Africa
56,Serbia,38.7,20.3884,Europe
57,Bhutan,38.7,46.997,Asia
58,Cambodia,37.9,36.4402,Asia
59,Japan,37.9,5.6282,Asia
60,Tanzania,37.6,129.3792,Africa
61,Vietnam,37.6,24.346999999999998,Asia
62,Maldives,37.4,10.9674,Asia
63,Indonesia,36.8,43.453,Asia
64,Uzbekistan,36.8,13.1814,Asia
65,Greece,36.7,11.16,Europe
66,Laos,36.7,33.6144,Asia
67,Mongolia,36.5,19.5598,Asia
68,Benin,36.5,102.8904,Africa
69,Spain,35.9,10.67,Europe
70,Mauritius,35.9,33.2728,Africa
71,Estonia,35.6,18.387999999999998,Europe
72,Lithuania,35.5,13.595999999999998,Europe
73,Bulgaria,35.4,45.38399999999999,Europe
74,Algeria,35.3,6.5848,Africa
75,Latvia,35.2,14.8772,Europe
76,Cyprus,34.8,5.8932,Asia
77,Portugal,34.2,14.2234,Europe
78,Niger,34.0,199.0038,Africa
79,Azerbaijan,33.7,32.3586,Asia
80,India,33.6,79.332,Asia
81,Taiwan,33.6,4.0,Asia
82,Kyrgyzstan,33.4,33.4348,Asia
83,Ethiopia,33.0,57.9116,Africa
84,Nepal,32.8,93.0802,Asia
85,Tajikistan,32.6,26.787,Asia
86,Poland,32.4,13.2338,Europe
87,Canada,32.1,12.3374,North America
88,Bangladesh,32.1,72.5164,Asia
89,Croatia,32.0,13.0594,Europe
90,Italy,31.9,6.56,Europe
91,Timor-Leste,31.9,57.6736,Asia
92,Ireland,31.3,15.06,Europe
93,Egypt,30.8,43.016000000000005,Africa
94,Hungary,30.6,18.4132,Europe
95,Luxembourg,30.4,7.5,Europe
96,Armenia,30.3,28.3,Asia
97,Australia,30.3,15.5,Australia
98,France,30.1,6.4918,Europe
99,Pakistan,29.6,29.5212,Asia
100,Austria,29.2,9.956,Europe
101,Albania,29.0,11.2,Europe
102,Kazakhstan,28.9,27.3034,Asia
103,Switzerland,28.7,4.1926,Europe
104,Moldova,28.5,31.0074,Europe
105,Iceland,28.0,12.9,Europe
106,Malta,27.7,18.86,Europe
107,Romania,27.3,36.31,Europe
108,Germany,27.0,8.846,Europe
109,Norway,26.8,8.4,Europe
110,Finland,26.8,8.4,Europe
111,Belarus,26.5,20.7,Europe
112,Montenegro,26.2,16.1584,Europe
113,Belgium,25.9,10.28,Europe
114,Netherlands,25.1,4.5848,Europe
115,Sweden,24.9,6.3124,Europe
116,Denmark,24.8,5.1,Europe
117,Ukraine,24.6,28.57,Europe
118,Slovenia,23.7,4.6722,Europe
